Game,Player,ShotsTaken,HitsTaken,AccuracyRate
753,Player 1,24,17,70.83%
753,Player 2,3,0,0.00%
754,Player 1,26,17,65.38%
754,Player 2,12,4,33.33%
755,Player 1,21,17,80.95%
755,Player 2,1,0,0.00%
756,Player 1,29,17,58.62%
756,Player 2,13,3,23.08%
757,Player 1,27,17,62.96%
757,Player 2,11,3,27.27%
758,Player 1,22,17,77.27%
758,Player 2,7,4,57.14%
759,Player 1,58,17,29.31%
759,Player 2,57,15,26.32%
760,Player 1,26,17,65.38%
760,Player 2,6,0,0.00%
761,Player 1,31,17,54.84%
761,Player 2,23,10,43.48%
762,Player 1,29,17,58.62%
762,Player 2,11,1,9.09%
763,Player 1,27,17,62.96%
763,Player 2,13,5,38.46%
764,Player 1,27,17,62.96%
764,Player 2,14,5,35.71%
765,Player 1,26,17,65.38%
765,Player 2,9,0,0.00%
766,Player 1,27,17,62.96%
766,Player 2,8,1,12.50%
767,Player 1,36,17,47.22%
767,Player 2,30,12,40.00%
768,Player 1,40,6,15.00%
768,Player 2,51,17,33.33%
769,Player 1,44,17,38.64%
769,Player 2,40,13,32.50%
770,Player 1,22,17,77.27%
770,Player 2,3,0,0.00%
771,Player 1,27,17,62.96%
771,Player 2,19,8,42.11%
772,Player 1,43,17,39.53%
772,Player 2,34,8,23.53%
773,Player 1,25,17,68.00%
773,Player 2,13,7,53.85%
774,Player 1,23,17,73.91%
774,Player 2,5,0,0.00%
775,Player 1,25,17,68.00%
775,Player 2,7,0,0.00%
776,Player 1,47,17,36.17%
776,Player 2,38,8,21.05%
777,Player 1,23,17,73.91%
777,Player 2,5,0,0.00%
778,Player 1,24,17,70.83%
778,Player 2,9,4,44.44%
779,Player 1,22,17,77.27%
779,Player 2,5,0,0.00%
780,Player 1,24,17,70.83%
780,Player 2,6,0,0.00%
781,Player 1,26,17,65.38%
781,Player 2,17,8,47.06%
782,Player 1,24,17,70.83%
782,Player 2,7,1,14.29%
783,Player 1,26,17,65.38%
783,Player 2,12,3,25.00%
784,Player 1,30,17,56.67%
784,Player 2,16,4,25.00%
785,Player 1,29,17,58.62%
785,Player 2,12,1,8.33%
786,Player 1,29,17,58.62%
786,Player 2,9,0,0.00%
787,Player 1,30,5,16.67%
787,Player 2,44,17,38.64%
788,Player 1,26,17,65.38%
788,Player 2,10,2,20.00%
789,Player 1,24,17,70.83%
789,Player 2,9,4,44.44%
790,Player 1,26,17,65.38%
790,Player 2,10,3,30.00%
791,Player 1,36,17,47.22%
791,Player 2,26,8,30.77%
792,Player 1,20,17,85.00%
792,Player 2,2,0,0.00%
793,Player 1,24,17,70.83%
793,Player 2,5,0,0.00%
794,Player 1,24,17,70.83%
794,Player 2,5,0,0.00%
795,Player 1,29,17,58.62%
795,Player 2,19,8,42.11%
796,Player 1,25,17,68.00%
796,Player 2,14,6,42.86%
797,Player 1,27,17,62.96%
797,Player 2,9,0,0.00%
798,Player 1,29,17,58.62%
798,Player 2,18,7,38.89%
799,Player 1,25,17,68.00%
799,Player 2,14,5,35.71%
800,Player 1,27,17,62.96%
800,Player 2,17,9,52.94%
801,Player 1,31,17,54.84%
801,Player 2,17,5,29.41%
802,Player 1,27,17,62.96%
802,Player 2,21,9,42.86%
803,Player 1,25,17,68.00%
803,Player 2,14,5,35.71%
804,Player 1,21,17,80.95%
804,Player 2,3,1,33.33%
805,Player 1,23,17,73.91%
805,Player 2,4,0,0.00%
806,Player 1,26,17,65.38%
806,Player 2,7,0,0.00%
807,Player 1,18,17,94.44%
807,Player 2,1,0,0.00%
808,Player 1,22,17,77.27%
808,Player 2,4,0,0.00%
809,Player 1,27,17,62.96%
809,Player 2,9,0,0.00%
810,Player 1,23,17,73.91%
810,Player 2,8,3,37.50%
811,Player 1,24,17,70.83%
811,Player 2,6,0,0.00%
812,Player 1,23,17,73.91%
812,Player 2,7,3,42.86%
813,Player 1,28,17,60.71%
813,Player 2,21,12,57.14%
814,Player 1,31,17,54.84%
814,Player 2,18,8,44.44%
815,Player 1,25,17,68.00%
815,Player 2,17,10,58.82%
816,Player 1,23,17,73.91%
816,Player 2,5,0,0.00%
817,Player 1,26,17,65.38%
817,Player 2,16,7,43.75%
818,Player 1,20,17,85.00%
818,Player 2,2,0,0.00%
819,Player 1,23,17,73.91%
819,Player 2,4,0,0.00%
820,Player 1,27,17,62.96%
820,Player 2,13,5,38.46%
821,Player 1,22,17,77.27%
821,Player 2,10,5,50.00%
822,Player 1,23,17,73.91%
822,Player 2,4,1,25.00%
823,Player 1,28,17,60.71%
823,Player 2,12,3,25.00%
824,Player 1,23,17,73.91%
824,Player 2,7,3,42.86%
825,Player 1,24,17,70.83%
825,Player 2,5,0,0.00%
826,Player 1,27,17,62.96%
826,Player 2,15,5,33.33%
827,Player 1,27,17,62.96%
827,Player 2,13,4,30.77%
828,Player 1,27,17,62.96%
828,Player 2,10,3,30.00%
829,Player 1,31,17,54.84%
829,Player 2,17,5,29.41%
830,Player 1,42,17,40.48%
830,Player 2,29,5,17.24%
831,Player 1,28,17,60.71%
831,Player 2,15,5,33.33%
832,Player 1,23,17,73.91%
832,Player 2,3,0,0.00%
833,Player 1,23,17,73.91%
833,Player 2,12,5,41.67%
834,Player 1,25,17,68.00%
834,Player 2,7,0,0.00%
835,Player 1,32,16,50.00%
835,Player 2,32,17,53.13%
836,Player 1,26,17,65.38%
836,Player 2,9,0,0.00%
837,Player 1,28,17,60.71%
837,Player 2,12,4,33.33%
838,Player 1,27,17,62.96%
838,Player 2,15,5,33.33%
839,Player 1,29,17,58.62%
839,Player 2,12,4,33.33%
840,Player 1,24,17,70.83%
840,Player 2,5,0,0.00%
841,Player 1,25,17,68.00%
841,Player 2,10,3,30.00%
842,Player 1,19,17,89.47%
842,Player 2,1,0,0.00%
843,Player 1,32,17,53.13%
843,Player 2,26,11,42.31%
844,Player 1,30,17,56.67%
844,Player 2,23,10,43.48%
845,Player 1,26,17,65.38%
845,Player 2,11,2,18.18%
846,Player 1,25,17,68.00%
846,Player 2,11,4,36.36%
847,Player 1,24,17,70.83%
847,Player 2,5,0,0.00%
848,Player 1,24,17,70.83%
848,Player 2,4,0,0.00%
849,Player 1,25,17,68.00%
849,Player 2,6,0,0.00%
850,Player 1,27,17,62.96%
850,Player 2,12,3,25.00%
851,Player 1,23,17,73.91%
851,Player 2,7,5,71.43%
852,Player 1,28,17,60.71%
852,Player 2,12,3,25.00%
853,Player 1,25,17,68.00%
853,Player 2,15,8,53.33%
854,Player 1,26,17,65.38%
854,Player 2,7,0,0.00%
855,Player 1,29,17,58.62%
855,Player 2,11,0,0.00%
856,Player 1,21,17,80.95%
856,Player 2,9,4,44.44%
857,Player 1,26,17,65.38%
857,Player 2,16,8,50.00%
858,Player 1,38,17,44.74%
858,Player 2,34,13,38.24%
859,Player 1,33,17,51.52%
859,Player 2,22,7,31.82%
860,Player 1,23,17,73.91%
860,Player 2,5,0,0.00%
861,Player 1,26,17,65.38%
861,Player 2,7,0,0.00%
862,Player 1,23,17,73.91%
862,Player 2,9,3,33.33%
863,Player 1,22,17,77.27%
