Game,Player,MaxConsecutiveHits
773,Player 2,6
774,Player 1,4
774,Player 2,1
775,Player 1,5
775,Player 2,4
776,Player 1,5
776,Player 2,0
777,Player 1,9
777,Player 2,8
778,Player 1,7
778,Player 2,2
779,Player 1,1
779,Player 2,6
780,Player 1,11
780,Player 2,2
781,Player 1,1
781,Player 2,6
782,Player 1,1
782,Player 2,4
783,Player 1,4
783,Player 2,3
784,Player 1,7
784,Player 2,5
785,Player 1,4
785,Player 2,3
786,Player 1,6
786,Player 2,4
787,Player 1,5
787,Player 2,3
788,Player 1,6
788,Player 2,1
789,Player 1,8
789,Player 2,0
790,Player 1,4
790,Player 2,0
791,Player 1,5
791,Player 2,4
792,Player 1,12
792,Player 2,0
793,Player 1,7
793,Player 2,0
794,Player 1,5
794,Player 2,5
795,Player 1,5
795,Player 2,4
796,Player 1,6
796,Player 2,3
797,Player 1,4
797,Player 2,2
798,Player 1,7
798,Player 2,5
799,Player 1,4
799,Player 2,3
800,Player 1,9
800,Player 2,0
801,Player 1,6
801,Player 2,4
802,Player 1,10
802,Player 2,3
803,Player 1,3
803,Player 2,3
804,Player 1,7
804,Player 2,0
805,Player 1,6
805,Player 2,4
806,Player 1,5
806,Player 2,3
807,Player 1,8
807,Player 2,4
808,Player 1,5
808,Player 2,1
809,Player 1,8
809,Player 2,3
810,Player 1,6
810,Player 2,4
811,Player 1,9
811,Player 2,4
812,Player 1,9
812,Player 2,0
813,Player 1,5
813,Player 2,4
814,Player 1,7
814,Player 2,0
815,Player 1,10
815,Player 2,1
816,Player 1,4
816,Player 2,1
817,Player 1,7
817,Player 2,0
818,Player 1,5
818,Player 2,2
819,Player 1,8
819,Player 2,0
820,Player 1,7
820,Player 2,1
821,Player 1,5
821,Player 2,2
822,Player 1,6
822,Player 2,0
823,Player 1,6
823,Player 2,2
824,Player 1,7
824,Player 2,3
825,Player 1,6
825,Player 2,2
826,Player 1,5
826,Player 2,3
827,Player 1,6
827,Player 2,0
828,Player 1,4
828,Player 2,5
829,Player 1,5
829,Player 2,3
830,Player 1,11
830,Player 2,0
831,Player 1,6
831,Player 2,6
832,Player 1,7
832,Player 2,0
833,Player 1,12
833,Player 2,6
834,Player 1,6
834,Player 2,5
835,Player 1,3
835,Player 2,3
836,Player 1,5
836,Player 2,3
837,Player 1,4
837,Player 2,3
838,Player 1,4
838,Player 2,2
839,Player 1,7
839,Player 2,0
840,Player 1,4
840,Player 2,2
841,Player 1,3
841,Player 2,0
842,Player 1,4
842,Player 2,1
843,Player 1,5
843,Player 2,0
844,Player 1,7
844,Player 2,3
845,Player 1,4
845,Player 2,0
846,Player 1,9
846,Player 2,0
847,Player 1,8
847,Player 2,4
848,Player 1,3
848,Player 2,2
849,Player 1,7
849,Player 2,2
850,Player 1,5
850,Player 2,0
851,Player 1,14
851,Player 2,2
852,Player 1,5
852,Player 2,2
853,Player 1,4
853,Player 2,4
854,Player 1,7
854,Player 2,3
855,Player 1,9
855,Player 2,1
856,Player 1,6
856,Player 2,3
857,Player 1,4
857,Player 2,4
858,Player 1,11
858,Player 2,5
859,Player 1,3
859,Player 2,4
860,Player 1,5
860,Player 2,4
861,Player 1,4
861,Player 2,4
862,Player 1,2
862,Player 2,4
863,Player 1,5
863,Player 2,4
864,Player 1,6
864,Player 2,0
865,Player 1,5
865,Player 2,4
866,Player 1,5
866,Player 2,2
867,Player 1,5
867,Player 2,4
868,Player 1,3
868,Player 2,3
869,Player 1,9
869,Player 2,4
870,Player 1,11
870,Player 2,4
871,Player 1,5
871,Player 2,0
872,Player 1,7
872,Player 2,0
873,Player 1,6
873,Player 2,2
874,Player 1,5
874,Player 2,4
875,Player 1,5
875,Player 2,4
876,Player 1,6
876,Player 2,0
877,Player 1,5
877,Player 2,2
878,Player 1,5
878,Player 2,4
879,Player 1,7
879,Player 2,0
880,Player 1,5
880,Player 2,2
881,Player 1,3
881,Player 2,2
882,Player 1,2
882,Player 2,7
883,Player 1,5
883,Player 2,5
884,Player 1,5
884,Player 2,3
885,Player 1,5
885,Player 2,0
886,Player 1,5
886,Player 2,1
887,Player 1,6
887,Player 2,4
888,Player 1,10
888,Player 2,5
889,Player 1,5
889,Player 2,2
890,Player 1,7
890,Player 2,3
891,Player 1,11
891,Player 2,4
892,Player 1,10
892,Player 2,4
893,Player 1,8
893,Player 2,1
894,Player 1,4
894,Player 2,3
895,Player 1,6
895,Player 2,4
896,Player 1,5
896,Player 2,0
897,Player 1,3
897,Player 2,8
898,Player 1,7
898,Player 2,4
899,Player 1,9
899,Player 2,1
900,Player 1,4
900,Player 2,0
901,Player 1,6
901,Player 2,1
902,Player 1,7
902,Player 2,0
903,Player 1,6
903,Player 2,5
904,Player 1,4
904,Player 2,0
905,Player 1,11
905,Player 2,2
906,Player 1,14
906,Player 2,0
907,Player 1,7
907,Player 2,3
908,Player 1,11
908,Player 2,0
909,Player 1,8
909,Player 2,2
910,Player 1,13
910,Player 2,0
911,Player 1,11
911,Player 2,1
912,Player 1,7
912,Player 2,3
913,Player 1,6
913,Player 2,2
914,Player 1,7
914,Player 2,0
915,Player 1,3
915,Player 2,0
916,Player 1,4
916,Player 2,3
917,Player 1,14
917,Player 2,0
918,Player 1,6
918,Player 2,3
919,Player 1,3
919,Player 2,0
920,Player 1,12
920,Player 2,1
921,Player 1,5
921,Player 2,4
922,Player 1,6
922,Player 2,2
923,Player 1,9
923,Player 2,2
924,Player 1,3
924,Player 2,0
925,Player 1,4
925,Player 2,2
926,Player 1,4
926,Player 2,4
927,Player 1,4
927,Player 2,2
928,Player 1,6
928,Player 2,0
929,Player 1,6
929,Player 2,0
930,Player 1,3
930,Player 2,4
931,Player 1,6
931,Player 2,4
932,Player 1,7
932,Player 2,2
933,Player 1,3
933,Player 2,0
934,Player 1,5
934,Player 2,5
935,Player 1,4
935,Player 2,3
936,Player 1,6
936,Player 2,0
937,Player 1,13
937,Player 2,0
938,Player 1,5
938,Player 2,4
939,Player 1,7
939,Player 2,0
940,Player 1,6
940,Player 2,0
941,Player 1,5
941,Player 2,0
942,Player 1,6
942,Player 2,2
943,Player 1,2
943,Player 2,4
944,Player 1,8
944,Player 2,0
945,Player 1,5
945,Player 2,5
946,Player 1,4
946,Player 2,2
947,Player 1,5
947,Player 2,3
948,Player 1,8
948,Player 2,0
949,Player 1,5
949,Player 2,0
950,Player 1,5
950,Player 2,2
951,Player 1,3
951,Player 2,1
952,Player 1,8
952,Player 2,4
953,Player 1,9
953,Player 2,1
954,Player 1,5
954,Player 2,3
955,Player 1,10
955,Player 2,3
956,Player 1,10
956,Player 2,0
957,Player 1,7
957,Player 2,4
958,Player 1,1
958,Player 2,3
959,Player 1,6
959,Player 2,4
960,Player 1,6
960,Player 2,4
961,Player 1,6
961,Player 2,0
962,Player 1,5
962,Player 2,0
963,Player 1,6
963,Player 2,0
964,Player 1,3
964,Player 2,4
965,Player 1,5
965,Player 2,0
966,Player 1,5
966,Player 2,3
967,Player 1,4
967,Player 2,3
968,Player 1,6
968,Player 2,3
969,Player 1,3
969,Player 2,1
970,Player 1,4
970,Player 2,1
971,Player 1,4
971,Player 2,5
972,Player 1,6
972,Player 2,0
973,Player 1,7
973,Player 2,4
974,Player 1,6
974,Player 2,3
975,Player 1,5
975,Player 2,2
976,Player 1,5
976,Player 2,3
977,Player 1,4
977,Player 2,2
978,Player 1,2
978,Player 2,5
979,Player 1,6
979,Player 2,3
980,Player 1,7
980,Player 2,4
981,Player 1,5
981,Player 2,0
982,Player 1,4
982,Player 2,0
983,Player 1,5
983,Player 2,0
984,Player 1,6
984,Player 2,1
985,Player 1,5
985,Player 2,0
986,Player 1,12
986,Player 2,3
987,Player 1,5
987,Player 2,0
988,Player 1,7
988,Player 2,1
989,Player 1,5
989,Player 2,0
990,Player 1,8
990,Player 2,0
991,Player 1,6
991,Player 2,4
992,Player 1,5
992,Player 2,3
993,Player 1,8
993,Player 2,0
994,Player 1,7
994,Player 2,0
995,Player 1,3
995,Player 2,4
996,Player 1,4
996,Player 2,0
997,Player 1,6
997,Player 2,3
998,Player 1,5
998,Player 2,1
999,Player 1,5
999,Player 2,3
1000,Player 1,4
1000,Player 2,1
